page_type,column,layout
1,7,"[[0, 1, 4, 9, 2], [4, 1, 3, 9, 2], '5단통']"
1,7,"[[0, 1, 4, 6], [4, 1, 3, 6], [0, 7, 7, 3], '5단통']"
1,6,"[[0, 1, 5, 9, 2], [5, 1, 1, 9], '5단통']"
1,7,"[[0, 1, 5, 9, 2], [5, 1, 2, 9, 2], '5단통']"
1,7,"[[0, 1, 5, 6], [5, 1, 2, 6], [0, 7, 7, 3], '5단통']"
1,7,"[[0, 1, 5, 9, 2], [5, 1, 2, 9], '5단통']"
101,7,"[[0, 0, 4, 9, 3], [4, 0, 3, 9, 3], '6단통']"
100,7,"[[0, 0, 4, 9, 3], [4, 0, 3, 9, 2], '6단통']"
101,7,"[[0, 0, 4, 7], [4, 0, 3, 7, 2], [0, 7, 2, 3], [2, 7, 5, 3], '5단통']"
101,7,"[[0, 0, 5, 9, 3], [5, 0, 2, 9, 3], '6단통']"
100,7,"[[0, 0, 5, 9, 3], [5, 0, 2, 9, 2], '6단통']"
101,7,"[[0, 0, 5, 9, 3], [5, 0, 2, 9, 2], '6단통']"
101,7,"[[0, 0, 4, 15, 5], [4, 0, 3, 8, 2], '7단15']"
100,7,"[[0, 0, 4, 8, 2], [4, 0, 3, 15, 4], [3, 8, 1, 7], '7단15']"
101,7,"[[0, 0, 4, 15, 4], [4, 0, 3, 8, 2], '7단15']"
100,7,"[[0, 0, 5, 8, 2], [5, 0, 2, 15, 3], [3, 8, 2, 7, 2], '7단15']"
100,7,"[[0, 0, 5, 8], [5, 0, 2, 8], [3, 8, 4, 7, 2], '7단15']"
1,6,"[[0, 1, 4, 5], [4, 1, 2, 9, 2], [0, 6, 3, 4], [3, 6, 1, 4], '5단통']"
1,6,"[[0, 1, 4, 5], [4, 1, 2, 9, 2], [0, 6, 2, 4], [2, 6, 2, 4], '5단통']"
1,7,"[[0, 1, 4, 9, 2], [4, 1, 3, 9, 2], '5단통']"
100,7,"[[0, 0, 7, 8], [3, 8, 4, 7, 2], '7단15']"
1,7,"[[0, 1, 4, 9, 3], [4, 1, 3, 7, 2], [0, 8, 2, 5], [2, 8, 2, 5], '7단15']"
1,7,"[[0, 1, 4, 14, 4], [4, 1, 3, 7, 2], '7단15']"
1,7,"[[0, 1, 4, 9, 2], [4, 1, 3, 7, 2], [0, 10, 2, 5], [2, 10, 2, 5], '7단15']"
20,7,"[[0, 0, 7, 8], [0, 8, 4, 7], [4, 8, 3, 7]]"
100,7,"[[0, 0, 4, 8, 2], [4, 0, 3, 8, 2], '7단통']"
101,7,"[[0, 0, 4, 8, 2], [4, 0, 3, 8, 2], '7단통']"
100,7,"[[0, 0, 5, 8, 2], [5, 0, 2, 8, 2], '7단통']"
101,7,"[[0, 0, 5, 8, 2], [5, 0, 2, 8, 2], '7단통']"
100,7,"[[0, 0, 5, 8], [5, 0, 2, 8, 2], '7단통']"
101,7,"[[0, 0, 5, 8], [5, 0, 2, 8, 2], '7단통']"
101,7,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 2, 8], '8단27']"
100,7,"[[0, 0, 4, 7], [4, 0, 3, 7], [5, 7, 2, 8], '8단27']"
100,7,"[[0, 0, 4, 7, 2], [4, 0, 3, 7, 2], '8단통']"
101,7,"[[0, 0, 4, 7, 2], [4, 0, 3, 7, 2], '8단통']"
100,7,"[[0, 0, 4, 7], [4, 0, 3, 7], '8단통']"
101,7,"[[0, 0, 4, 7], [4, 0, 3, 7], '8단통']"
101,7,"[[0, 0, 5, 7], [5, 0, 2, 7, 2], '8단통']"
100,7,"[[0, 0, 5, 7], [5, 0, 2, 7], '8단통']"
101,7,"[[0, 0, 5, 7], [5, 0, 2, 7], '8단통']"
